B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
1192.0,1640.0,1969.0,2355.0,2596.0,2751.5,2885.0,3016.5,4064.5,3447.5,4.0,2021-06-11,Arkansas,zone1,2
544.0,995.0,744.0,1477.0,3824.0,4383.0,4132.0,4430.0,2913.0,1672.0,4.0,2021-06-11,Arkansas,zone1,2
9800.0,9520.0,9496.0,10429.0,9998.0,9830.0,10104.0,9696.0,9654.0,7726.0,4.0,2021-06-11,Arkansas,zone1,2
1504.0,2074.0,2198.0,2930.0,3696.0,4078.0,4440.0,4506.0,5297.0,4495.0,3.0,2021-06-11,Arkansas,zone1,2
1041.0,1285.0,1509.0,1755.0,2094.0,2329.5,2218.0,2425.5,3282.5,2824.5,4.0,2021-06-11,Arkansas,zone1,2
1832.0,2374.0,2796.0,2649.0,2845.0,3006.0,3796.0,3291.0,4370.0,3732.0,4.0,2021-06-11,Arkansas,zone1,2
271.0,504.0,250.0,594.0,3544.0,5535.0,5584.0,5658.0,1872.0,809.0,1.0,2021-06-11,Arkansas,zone1,2
421.0,782.0,480.0,1119.0,2529.0,2986.0,2684.0,2949.0,1615.0,879.0,3.0,2021-06-11,Arkansas,zone1,2
1067.0,1436.0,1525.0,1962.5,2259.5,2403.5,2372.0,2558.0,2811.5,2117.0,4.0,2021-06-11,Arkansas,zone1,2
1084.0,1496.0,1751.0,2450.0,2923.5,3217.0,3336.0,3443.0,4388.5,3591.0,5.0,2021-06-11,Arkansas,zone1,2
572.0,973.0,689.5,1428.5,2636.5,3048.5,3077.0,3124.5,2176.0,1281.0,3.0,2021-06-11,Arkansas,zone1,2
307.0,458.0,285.0,633.0,2702.0,4129.0,4440.0,4255.0,1785.0,830.0,1.0,2021-06-11,Arkansas,zone1,2
690.0,932.0,1116.0,1382.0,1752.0,1937.0,2121.0,2078.0,3390.0,3106.0,4.0,2021-06-11,Arkansas,zone1,2
1484.0,2046.0,2160.0,2824.0,3494.0,3736.0,3952.0,4004.0,5046.0,4502.0,3.0,2021-06-11,Arkansas,zone1,2
381.0,678.5,282.0,947.5,3104.5,3942.5,3830.0,3901.0,2066.5,1126.0,3.0,2021-06-11,Arkansas,zone1,2
855.5,1274.0,1603.0,2062.0,2291.5,2562.5,2653.0,2828.5,3511.0,2554.5,4.0,2021-06-11,Arkansas,zone1,2
1770.0,2086.0,2507.0,2850.0,2917.0,3089.0,3178.0,3370.0,4143.0,3559.0,4.0,2021-06-11,Arkansas,zone1,2
776.5,1187.0,1185.0,1892.0,3008.5,3400.5,3528.0,3698.0,3808.5,2602.5,4.0,2021-06-11,Arkansas,zone1,2
628.0,915.0,856.0,1335.0,2598.0,3009.0,3023.0,3162.0,2744.0,1913.0,4.0,2021-06-11,Arkansas,zone1,2
786.0,1142.0,1192.0,1761.0,2870.0,3304.0,3411.0,3459.0,3354.0,2305.0,4.0,2021-06-11,Arkansas,zone1,2
660.0,1184.0,1183.0,1625.0,3167.5,3659.5,3545.0,3864.0,2676.0,1599.5,5.0,2021-06-11,Arkansas,zone1,2
1242.0,1854.0,2236.0,2705.5,2948.0,3173.5,3207.0,3334.5,4264.0,3572.5,4.0,2021-06-11,Arkansas,zone1,2
539.0,807.0,514.0,1175.0,2364.0,2734.0,2998.0,2822.0,1410.0,830.0,3.0,2021-06-11,Arkansas,zone1,2
600.0,1062.0,1048.0,1829.0,3030.0,3359.0,3363.0,3632.0,3462.0,2613.0,4.0,2021-06-11,Arkansas,zone1,2
394.5,602.5,357.0,858.5,2263.5,2916.0,2735.0,2853.5,1487.5,833.0,3.0,2021-06-11,Arkansas,zone1,2
908.0,1163.0,1341.0,1631.0,1965.5,2167.5,2283.0,2352.5,3117.0,2508.0,4.0,2021-06-11,Arkansas,zone1,2
1860.0,2370.0,2800.0,3275.0,3516.0,3724.0,3796.0,3995.0,5077.0,4501.0,4.0,2021-06-11,Arkansas,zone1,2
1620.0,2188.0,2370.0,3043.0,4225.0,4639.0,4708.0,4900.0,5140.0,4518.0,4.0,2021-06-11,Arkansas,zone1,2
905.5,1031.5,1217.0,1460.5,1588.0,1725.0,1897.0,1946.0,3404.0,3032.5,3.0,2021-06-11,Arkansas,zone1,2
592.0,992.0,1018.0,1566.0,2469.0,2725.0,2746.0,2864.0,2641.0,1633.0,4.0,2021-06-11,Arkansas,zone1,2
263.0,429.0,256.0,606.0,2811.0,4127.0,4188.0,4280.0,1951.0,930.0,1.0,2021-06-11,Arkansas,zone1,2
1378.0,1983.0,2336.0,3043.0,3287.0,3493.0,3557.0,3750.0,4781.0,4064.0,2.0,2021-06-11,Arkansas,zone1,2
143.5,329.0,143.5,470.0,3043.0,4898.0,4934.0,5055.5,1600.5,675.5,1.0,2021-06-11,Arkansas,zone1,2
872.0,1174.0,1294.0,1634.0,2173.0,2466.0,2329.0,2721.0,3092.0,2340.0,5.0,2021-06-11,Arkansas,zone1,2
