B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
480.0,708.5,802.5,1143.0,2156.5,2653.0,2793.0,2955.5,2046.0,1443.0,5.0,2021-07-01,California,zone2,1
556.5,876.0,762.0,1574.0,3602.0,4690.0,4826.0,4669.0,2756.0,1939.0,1.0,2021-07-01,California,zone2,1
778.0,1129.0,1407.0,1936.0,2877.0,3307.0,3585.0,3801.5,3755.0,2496.5,6.0,2021-07-01,California,zone2,1
1032.0,1274.0,1650.0,1853.0,1913.0,2070.0,2262.0,2368.0,3986.0,3796.0,6.0,2021-07-01,California,zone2,1
652.5,834.0,1027.0,1204.0,1427.0,1563.5,1639.0,1724.0,2669.5,2321.0,6.0,2021-07-01,California,zone2,1
975.5,1506.0,1813.0,2162.0,3283.0,3673.0,3778.0,3971.0,3475.5,2513.0,6.0,2021-07-01,California,zone2,1
1153.0,1508.0,2159.0,2436.0,2510.0,2667.0,2841.0,2963.0,4361.0,3549.5,6.0,2021-07-01,California,zone2,1
289.0,798.0,325.0,1255.0,4683.5,5796.0,6072.0,6021.5,2715.0,1296.0,1.0,2021-07-01,California,zone2,1
742.5,1166.0,1294.0,1972.0,2812.5,3176.0,3322.0,3468.5,2942.0,2161.0,1.0,2021-07-01,California,zone2,1
532.0,777.0,998.0,1400.5,2333.5,2843.5,2986.0,3195.0,2848.5,1849.5,5.0,2021-07-01,California,zone2,1
858.0,1200.0,1686.0,1955.0,2191.0,2370.0,2424.0,2605.0,3279.0,2908.0,6.0,2021-07-01,California,zone2,1
768.0,1058.0,1092.0,1593.0,3190.0,3675.0,3560.0,3932.0,3000.0,1822.0,3.0,2021-07-01,California,zone2,1
526.5,746.5,842.0,1206.5,2129.5,2549.5,2648.0,2757.5,2101.0,1563.5,5.0,2021-07-01,California,zone2,1
1146.0,1672.0,2220.0,2677.0,3158.0,3391.0,3428.0,3566.0,4328.0,3540.0,6.0,2021-07-01,California,zone2,1
463.0,776.0,576.5,1276.0,4151.0,5123.5,5242.0,5317.5,2240.5,1129.5,6.0,2021-07-01,California,zone2,1
1375.0,1924.0,2483.0,2798.0,2744.0,2855.5,2911.0,2930.5,3580.0,3022.5,6.0,2021-07-01,California,zone2,1
1353.0,1735.0,2127.0,2393.0,2813.5,3085.5,3139.0,3260.5,4086.0,3727.0,6.0,2021-07-01,California,zone2,1
1188.0,1775.0,2693.0,3036.0,3103.5,3304.0,3382.0,3512.0,4482.0,3618.5,1.0,2021-07-01,California,zone2,1
