pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
0,0,Others,arkansas,35,2021-12-17,-93.61231286399018,33.83302396697251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,Others,arkansas,35,2021-12-17,-91.9077596123734,36.211762839321004,255.0,331.0,411.0,645.0,990.0,1161.0,1264.0,1464.0,1463.0,960.0,1
2,0,Others,arkansas,35,2021-12-17,-90.8742478779939,35.085724630677184,405.0,494.0,510.0,588.0,460.0,644.0,972.0,545.0,726.0,568.0,1
3,0,Others,arkansas,35,2021-12-17,-91.54259444937881,33.67087805818893,819.0,1047.0,1014.5,1231.5,1494.0,1641.0,2064.0,1867.5,2252.5,1552.5,1
4,0,Others,arkansas,35,2021-12-17,-90.72467838318799,34.9370534511554,445.0,549.0,884.0,1087.5,1356.0,1562.5,2056.0,2080.0,2623.5,1752.5,1
5,0,Others,arkansas,35,2021-12-17,-91.5996374699204,35.608544126034744,564.0,558.0,622.0,794.0,1039.0,1153.0,1320.0,1341.0,1442.0,938.0,1
6,0,Others,arkansas,35,2021-12-17,-91.78424126080697,33.73286181279318,229.0,276.0,234.0,498.0,1157.0,1331.0,1620.0,1598.0,1208.0,657.0,1
7,0,Others,arkansas,35,2021-12-17,-92.4692066649481,36.44307902498178,271.0,353.0,594.0,844.0,1109.0,1249.0,1488.0,1703.0,2133.0,1301.0,1
8,0,Others,arkansas,35,2021-12-17,-91.8686828975142,35.492212296741265,4840.0,4600.0,4484.0,4538.5,4582.5,4498.5,5102.5,4617.5,4434.0,4003.5,1
9,0,Others,arkansas,35,2021-12-17,-89.94673734714048,33.71669213767903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0,Others,arkansas,35,2021-12-17,-94.23709114409532,34.029305856552625,490.0,687.0,929.0,1293.0,2098.0,2396.0,2617.0,2886.0,2811.0,1694.0,1
11,0,Others,arkansas,35,2021-12-17,-90.07519643276957,33.391052847185705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,0,Others,arkansas,35,2021-12-17,-91.84667417305327,35.85917409030409,1113.0,1156.0,1223.0,1361.5,1591.5,1664.5,1981.5,1849.5,1697.5,1163.0,1
13,0,Others,arkansas,35,2021-12-17,-92.1844407198822,34.99589310226523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0,Others,arkansas,35,2021-12-17,-92.59137754358835,34.28981728894728,167.5,260.5,332.5,314.5,418.0,481.0,752.5,566.0,548.0,395.5,1
15,0,Others,arkansas,35,2021-12-17,-94.21238747378203,33.23519514539097,343.0,389.0,335.0,580.0,1422.0,1662.0,1939.0,1941.0,1207.0,568.0,1
16,0,Others,arkansas,35,2021-12-17,-94.57485769092426,34.6424060379642,66.0,255.0,198.0,530.0,1601.0,1761.0,2047.0,2015.0,1270.0,678.0,1
17,0,Others,arkansas,35,2021-12-17,-89.75404871869685,33.34658624062179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0,Others,arkansas,35,2021-12-17,-94.23933693230562,35.0174526690841,396.0,753.0,661.0,571.0,211.0,214.0,193.0,114.0,76.0,79.0,1
19,0,Others,arkansas,35,2021-12-17,-91.66027375159847,34.575032391655235,307.0,308.0,359.0,522.0,646.0,708.0,958.0,874.0,1096.0,851.0,1
20,0,Others,arkansas,35,2021-12-17,-92.61383542569135,35.8367162082011,353.0,412.0,474.0,763.0,1060.0,1315.0,1338.0,1554.0,1661.0,1048.0,1
21,0,Others,arkansas,35,2021-12-17,-89.84837182352939,35.22676013028395,419.0,518.0,536.0,617.0,761.5,863.5,925.0,1048.5,1245.0,940.0,1
22,0,Others,arkansas,35,2021-12-17,-91.55247591750413,35.58967950506823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,0,Others,arkansas,35,2021-12-17,-94.47783964023935,35.60225591904591,244.0,360.0,521.0,732.0,962.0,1168.0,1412.0,1499.0,2051.0,1232.0,1
24,0,Others,arkansas,35,2021-12-17,-89.73832820122475,35.155344065196445,926.5,1266.0,1640.0,1422.5,1719.5,1928.5,2529.0,1909.0,2492.0,2166.5,1
25,0,Others,arkansas,35,2021-12-17,-92.19072892687105,33.59452125903878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,0,Others,arkansas,35,2021-12-17,-92.53747862654119,35.39833834955078,188.0,291.0,285.0,519.0,1033.0,1291.0,1302.0,1352.0,1025.0,597.0,1
27,0,Others,arkansas,35,2021-12-17,-93.77221298456347,36.362679807053084,190.0,291.0,510.0,673.0,967.0,1145.0,1249.0,1500.0,1842.0,1174.0,1
28,0,Others,arkansas,35,2021-12-17,-92.27786550943064,33.85413437614932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,0,Others,arkansas,35,2021-12-17,-94.2474217698627,33.79439640975537,1710.5,1453.5,1191.0,1685.0,2697.0,3111.5,3205.0,3328.0,2015.5,1798.0,1
30,0,Others,arkansas,35,2021-12-17,-94.24562513929445,33.96956789015868,124.0,202.0,329.0,469.0,632.0,753.0,811.0,939.0,1429.0,952.0,1
31,0,Others,arkansas,35,2021-12-17,-93.32889439185048,33.56397853937872,278.0,400.0,333.0,668.0,1741.0,2082.0,2256.0,2326.0,986.0,482.0,1
32,0,Others,arkansas,35,2021-12-17,-89.93371177552075,34.946934919280714,693.5,810.0,921.0,1352.0,1599.5,1939.0,1666.5,1896.5,2248.0,1774.0,1
33,0,Others,arkansas,35,2021-12-17,-92.94441545024732,33.29133985064844,3002.0,3072.0,3112.0,4010.0,4363.0,4372.0,4312.0,4710.0,5076.0,4273.0,1
34,0,Others,arkansas,35,2021-12-17,-92.32143380071044,35.986285703007006,206.0,301.0,453.0,675.0,833.0,1032.0,1178.0,1363.0,1862.0,1197.0,1
35,0,Others,arkansas,35,2021-12-17,-93.02122140703955,33.298077215279335,180.0,242.0,160.0,313.0,871.0,1091.0,1458.0,1104.0,479.0,245.0,1
36,0,Others,arkansas,35,2021-12-17,-94.17510738949107,35.33590543730447,857.0,1040.0,1322.0,1979.0,2015.0,1992.0,1561.0,1944.0,2573.0,2376.0,1
37,0,Others,arkansas,35,2021-12-17,-93.33024186477667,33.17994875541762,320.0,549.0,601.0,881.0,1422.0,1672.0,2110.0,1832.0,1815.0,1133.0,1
38,0,Others,arkansas,35,2021-12-17,-93.3935730923071,35.40103329540313,189.0,313.5,253.0,561.5,1353.5,1674.5,1776.0,1813.5,1078.5,580.5,1
39,0,Others,arkansas,35,2021-12-17,-91.3674229689755,35.93373425888601,642.0,905.0,961.0,1474.0,2300.0,2497.0,2896.0,2930.0,2690.0,1687.0,1
40,0,Others,arkansas,35,2021-12-17,-89.64086099289779,33.50109646949035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,0,Others,arkansas,35,2021-12-17,-92.45213867454983,34.99813889047553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,0,Others,arkansas,35,2021-12-17,-93.68777134785623,34.04772131987708,595.0,846.0,1152.0,1516.0,1858.0,2063.0,2504.0,2405.0,3252.0,2222.0,1
43,0,Others,arkansas,35,2021-12-17,-91.98950630322827,33.754421379612054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44,0,Others,arkansas,35,2021-12-17,-93.83374758152566,35.43112685742114,534.0,826.0,978.0,1552.5,2251.5,2536.0,2786.0,2871.5,2812.5,1732.5,1
45,0,Others,arkansas,35,2021-12-17,-90.72467838318799,35.22316686914747,690.0,788.0,957.0,1257.0,1532.0,1869.0,2396.0,2358.0,2675.0,1864.0,1
46,0,Others,arkansas,35,2021-12-17,-93.3387758599758,33.409917468152216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,0,Others,arkansas,35,2021-12-17,-90.45069222153154,33.70321740841724,1692.0,1592.0,1550.0,1657.0,1709.0,1788.0,1888.0,1881.0,1909.0,1980.0,1
48,0,Others,arkansas,35,2021-12-17,-92.75621839822429,33.62686060926708,426.0,517.0,570.0,794.0,1080.0,1263.0,1644.0,1619.0,1639.0,1070.0,1
49,0,Others,arkansas,35,2021-12-17,-94.0978522750568,35.25685369230195,343.0,505.0,834.0,995.0,1166.5,1310.0,1475.5,1575.5,2920.0,2440.0,1
50,0,Others,arkansas,35,2021-12-17,-90.58094793772887,35.05608022630124,525.0,654.0,930.0,1085.0,1273.0,1511.0,1896.0,1811.0,2606.0,1739.0,1
51,0,Others,arkansas,35,2021-12-17,-93.40884445213712,34.19459586883062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,0,Others,arkansas,35,2021-12-17,-94.40417778694155,33.49346078957533,255.0,401.0,273.0,599.0,1512.5,1808.0,2130.0,2071.5,1038.0,514.0,1
53,0,Others,arkansas,35,2021-12-17,-94.4270848266866,33.36949328036684,384.5,565.5,822.0,1169.5,1454.0,1680.5,1828.5,2144.0,2907.5,1793.0,1
54,0,Others,arkansas,35,2021-12-17,-93.64599968714467,34.32889400380648,214.0,318.5,410.0,617.0,807.0,956.5,1167.0,1281.0,1789.0,1111.0,1
55,0,Others,arkansas,35,2021-12-17,-92.37533271775762,34.67025381177191,468.0,506.0,518.0,672.0,782.0,805.0,1120.0,794.0,750.0,566.0,1
56,0,Others,arkansas,35,2021-12-17,-94.57126442978777,36.1080074240052,365.0,582.0,715.0,997.0,1635.5,1788.5,1612.5,2086.0,1959.5,1304.5,1
57,0,Others,arkansas,35,2021-12-17,-89.92832188381603,35.681756821690485,260.0,284.0,438.5,650.0,822.5,903.5,1054.0,1173.5,1842.0,1374.0,1
58,0,Others,arkansas,35,2021-12-17,-90.53603217352288,35.35477005827098,742.0,1114.0,1416.0,1479.0,948.0,971.0,918.0,653.0,413.0,291.0,1
59,0,Others,arkansas,35,2021-12-17,-89.9799750126529,34.12093401553282,165.5,169.0,195.5,310.0,579.0,716.0,793.0,881.5,582.5,281.0,1
60,0,Others,arkansas,35,2021-12-17,-91.89608151367985,36.2050254746901,696.0,1054.0,1414.0,1804.0,2203.0,2422.0,2976.0,2865.0,2665.0,1641.0,1
61,0,Others,arkansas,35,2021-12-17,-92.17141514826248,34.179773666642646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62,0,Others,arkansas,35,2021-12-17,-94.35881286509351,36.412985462963775,318.0,702.0,619.0,1442.0,3624.0,4197.0,4580.0,4635.0,2583.0,1394.0,1
63,0,Others,arkansas,35,2021-12-17,-90.55669342505763,36.176279385598285,281.0,296.0,409.0,640.0,837.0,973.0,1068.0,1333.0,1767.0,1117.0,1
64,0,Others,arkansas,35,2021-12-17,-94.47649216731317,34.2628678304237,96.0,276.5,241.5,571.0,1432.0,1704.0,1989.5,1938.0,1066.0,518.0,1
65,0,Others,arkansas,35,2021-12-17,-92.10493981723764,36.463291118874466,557.0,866.0,1202.0,1617.0,2226.0,2454.0,2819.0,2843.0,2551.0,1482.0,1
66,0,Others,arkansas,35,2021-12-17,-92.48941875884078,33.74543822677086,2396.0,2248.0,2168.0,2183.0,2391.0,2429.0,2654.0,2524.0,2238.0,2082.0,1
67,0,Others,arkansas,35,2021-12-17,-93.81443380291708,33.61742829878382,422.0,644.0,766.0,1074.0,1450.0,1669.0,2114.0,1783.0,2178.0,1459.0,1
68,0,Others,arkansas,35,2021-12-17,-92.74858271830927,34.125425591953416,301.0,419.0,456.0,631.0,993.0,1026.0,1334.0,1280.0,1159.0,729.0,1
69,0,Others,arkansas,35,2021-12-17,-91.23042988814728,33.48941837079679,382.0,438.0,576.0,712.0,925.0,1036.0,1340.0,1335.0,2022.0,1349.0,1
70,0,Others,arkansas,35,2021-12-17,-94.47739048259729,36.29306037253382,643.0,1011.0,1518.0,1931.0,2198.0,2394.0,2669.0,2844.0,3388.0,2430.0,1
71,0,Others,arkansas,35,2021-12-17,-92.04205774734926,35.998862116984675,192.0,292.0,289.0,537.0,1101.0,1253.0,1623.0,1468.0,1007.0,613.0,1
72,0,Others,arkansas,35,2021-12-17,-90.14391755200472,33.88063467703084,509.5,631.5,785.0,1063.5,1370.5,1625.0,1922.0,1959.0,2162.5,1398.0,1
73,0,Others,arkansas,35,2021-12-17,-91.5026194192355,34.58805796327497,245.0,331.0,369.0,864.0,1011.0,1226.0,1118.0,1418.0,1200.0,778.0,1
74,0,Others,arkansas,35,2021-12-17,-91.72719824026538,36.52033413941606,428.0,645.0,799.0,1192.0,1715.0,1963.0,2060.0,2300.0,2228.0,1327.0,1
75,0,Others,arkansas,35,2021-12-17,-93.01358572712454,35.649866629104245,209.0,390.0,487.0,790.0,1328.0,1592.0,2078.0,1919.0,1734.0,963.0,1
76,0,Others,arkansas,35,2021-12-17,-91.777054738534,35.71499448720291,1266.0,1292.0,1450.0,1794.0,2109.0,2367.0,2676.0,2804.0,3128.0,2463.0,1
77,0,Others,arkansas,35,2021-12-17,-91.54573855287323,35.40462655653961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
