system:index,label,latitude,longitude,month,pixel_id,precip,solar_rad,temp,.geo
202101_0_0,0,33.83302396697251,-93.61231286399018,1,0,0.14200767713322193,2.89802756E8,280.29044538928616,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_1_0,0,36.211762839321004,-91.9077596123734,1,1,0.0816556199146703,2.61795816E8,276.76802907964236,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_2_0,0,35.085724630677184,-90.8742478779939,1,2,0.06577454345955402,2.75317464E8,279.1354475944273,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_3_0,0,33.67087805818893,-91.54259444937881,1,3,0.08658321040405781,2.82401104E8,280.6862918484596,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_4_0,0,34.9370534511554,-90.72467838318799,1,4,0.07352916734947712,2.75324036E8,279.48778451899045,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_5_0,0,35.608544126034744,-91.5996374699204,1,5,0.08357150691284687,2.73224276E8,277.8782703850859,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_6_0,0,33.88063467703084,-91.7056386734465,1,6,0.08955608146919758,2.82469912E8,280.35810909476334,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_7_0,0,33.73286181279318,-91.78424126080697,1,7,0.08888976114525349,2.8398102E8,280.6303967711746,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_8_0,0,36.44307902498178,-92.4692066649481,1,8,0.11216860848202259,2.53032816E8,276.63568123438023,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_9_0,0,35.492212296741265,-91.8686828975142,1,9,0.08899189370407612,2.74768008E8,277.82840794388966,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_10_0,0,33.71669213767903,-89.94673734714048,1,10,0.09293216305508167,2.76598244E8,280.62364483905094,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_11_0,0,34.029305856552625,-94.23709114409532,1,11,0.14211393731369526,2.92389376E8,279.8598390804824,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_12_0,0,33.657403328927145,-89.79267627591399,1,12,0.09195805924667866,2.77727456E8,280.61115953999183,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_13_0,0,33.391052847185705,-90.07519643276957,1,13,0.10053156154884846,2.7738084E8,281.0085916006437,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_14_0,0,35.85917409030409,-91.84667417305327,1,14,0.07837948041691334,2.68221284E8,277.3292716241652,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_15_0,0,33.98349177706253,-93.90965522303375,1,15,0.14899664955868275,2.91543696E8,279.8268827212754,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_16_0,0,34.99589310226523,-92.1844407198822,1,16,0.08545858996643574,2.8310886E8,278.7985886604555,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_17_0,0,34.28981728894728,-92.59137754358835,1,17,0.10672101217045338,2.88785708E8,279.69713904267996,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_18_0,0,33.1031427986254,-92.17545756704102,1,18,0.08590516286625416,2.90621044E8,281.53672815138293,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_19_0,0,33.23519514539097,-94.21238747378203,1,19,0.15365709203018696,2.84645976E8,281.18223858905094,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_20_0,0,34.6424060379642,-94.57485769092426,1,20,0.10489541130795033,2.99870616E8,278.30518570766657,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_21_0,0,33.34658624062179,-89.75404871869685,1,21,0.09830757814182789,2.8095988E8,280.9043934319609,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_22_0,0,35.0174526690841,-94.23933693230562,1,22,0.09359800654186756,2.95498596E8,278.32505822950793,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_23_0,0,34.575032391655235,-91.66027375159847,1,23,0.07695986169113667,2.80670308E8,279.58385779267996,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_24_0,0,35.8367162082011,-92.61383542569135,1,24,0.11530420022739918,2.71682908E8,276.519171027727,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_25_0,0,35.22676013028395,-89.84837182352939,1,25,0.08879004257454426,2.77442896E8,279.03766008602673,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_26_0,0,35.58967950506823,-91.55247591750413,1,26,0.08357150691284687,2.73224276E8,277.8782703850859,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_27_0,0,35.60225591904591,-94.47783964023935,1,27,0.12467706042065174,2.8384794E8,277.6125981320617,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_28_0,0,35.155344065196445,-89.73832820122475,1,28,0.0885966553045705,2.78142628E8,279.05923896707515,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_29_0,0,33.59452125903878,-92.19072892687105,1,29,0.09300254123940022,2.87017004E8,280.7768732706706,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_30_0,0,35.39833834955078,-92.53747862654119,1,30,0.11376806932224781,2.80698576E8,277.47740985501196,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_31_0,0,36.362679807053084,-93.77221298456347,1,31,0.11765323417915852,2.57377788E8,276.1728588637485,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_32_0,0,33.85413437614932,-92.27786550943064,1,32,0.10980237859024555,2.86388608E8,280.3752619425456,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_33_0,0,33.79439640975537,-94.2474217698627,1,33,0.1379116310430959,2.90136388E8,280.1866252447969,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_34_0,0,33.96956789015868,-94.24562513929445,1,34,0.14211393731369526,2.92389376E8,279.8598390804824,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_35_0,0,33.56397853937872,-93.32889439185048,1,35,0.12762206631435902,2.88493828E8,280.69314878730364,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_36_0,0,34.946934919280714,-89.93371177552075,1,36,0.08776952164902241,2.7885916E8,279.20303517003214,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_37_0,0,33.29133985064844,-92.94441545024732,1,37,0.11010821002258808,2.89450108E8,281.15364263390984,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_38_0,0,35.986285703007006,-92.32143380071044,1,38,0.09458067851795704,2.640497E8,276.90250068582515,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_39_0,0,33.298077215279335,-93.02122140703955,1,39,0.11391861575378925,2.89202244E8,281.1294937133789,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_40_0,0,33.80607450844892,-93.82925600510505,1,40,0.14839377837910206,2.89658872E8,280.2548822382445,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_41_0,0,35.33590543730447,-94.17510738949107,1,41,0.09866042273773701,2.91703204E8,278.2935483378749,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_42_0,0,33.17994875541762,-93.33024186477667,1,42,0.11761706906094105,2.88351428E8,281.1976141980899,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_43_0,0,35.40103329540313,-93.3935730923071,1,43,0.13999330836071522,2.856795E8,277.65697134694744,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_44_0,0,35.93373425888601,-91.3674229689755,1,44,0.08234534996284992,2.68685104E8,277.5418866065241,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_45_0,0,33.50109646949035,-89.64086099289779,1,45,0.09227786796822102,2.81299068E8,280.6780383202337,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_46_0,0,34.99813889047553,-92.45213867454983,1,46,0.09124547081722767,2.85156448E8,278.57892510198775,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_47_0,0,34.04772131987708,-93.68777134785623,1,47,0.14667047398819477,2.90618132E8,279.9379640804824,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_48_0,0,33.955644003254825,-91.94503969666435,1,48,0.09263630049957783,2.83349468E8,280.263547917848,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_49_0,0,33.754421379612054,-91.98950630322827,1,49,0.0945984705044225,2.84585516E8,280.5691200994676,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_50_0,0,35.43112685742114,-93.83374758152566,1,50,0.12776054280533344,2.87473228E8,277.7363826792727,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_51_0,0,35.22316686914747,-90.72467838318799,1,51,0.06332531409992725,2.75043028E8,278.9849335865308,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_52_0,0,33.409917468152216,-93.3387758599758,1,52,0.12481823402180225,2.8825122E8,280.9366961243332,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_53_0,0,33.70321740841724,-90.45069222153154,1,53,0.09801709490551502,2.74876236E8,280.6433257236276,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_54_0,0,33.62686060926708,-92.75621839822429,1,54,0.11580738263859303,2.89141328E8,280.7336918820617,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_55_0,0,35.25685369230195,-94.0978522750568,1,55,0.09867267149223835,2.91449932E8,278.1750193770214,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_56_0,0,35.05608022630124,-90.58094793772887,1,56,0.06850355702175648,2.75352928E8,279.15099121421895,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_57_0,0,34.19459586883062,-93.40884445213712,1,57,0.13444122510685474,2.90531492E8,279.6702599474179,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_58_0,0,33.49346078957533,-94.40417778694155,1,58,0.14291898744835407,2.8665304E8,280.50103899227673,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_59_0,0,33.36949328036684,-94.4270848266866,1,59,0.14828337567581684,2.8516706E8,280.8332041258453,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_60_0,0,34.32889400380648,-93.64599968714467,1,60,0.13727769094242603,2.91363624E8,279.2669921382781,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_61_0,0,34.67025381177191,-92.37533271775762,1,61,0.09345376330151112,2.85980712E8,278.9867843299784,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_62_0,0,33.758463798390586,-90.1016967336511,1,62,0.09329330759777577,2.7498008E8,280.55166798253214,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_63_0,0,36.1080074240052,-94.57126442978777,1,63,0.09869471030964405,2.6885352E8,276.7220938897902,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_64_0,0,35.681756821690485,-89.92832188381603,1,64,0.08791254299416096,2.69807912E8,278.3773752027942,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_65_0,0,35.35477005827098,-90.53603217352288,1,65,0.0694342835499242,2.74316796E8,278.61425461307647,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_66_0,0,34.12093401553282,-89.9799750126529,1,66,0.08969105618729145,2.75282444E8,280.2224167854555,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_67_0,0,36.2050254746901,-91.89608151367985,1,67,0.0816556199146703,2.61795816E8,276.76802907964236,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_68_0,0,34.179773666642646,-92.17141514826248,1,68,0.10217858689560444,2.85057704E8,279.91691023303616,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_69_0,0,36.412985462963775,-94.35881286509351,1,69,0.10650525825752766,2.60385052E8,276.30054703579157,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_70_0,0,36.176279385598285,-90.55669342505763,1,70,0.0959431661917165,2.62565584E8,277.3313061293735,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_71_0,0,34.2628678304237,-94.47649216731317,1,71,0.1329626722885564,2.98315224E8,279.0327168946625,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_72_0,0,36.463291118874466,-92.10493981723764,1,72,0.10897993880047352,2.54642788E8,276.2073666972499,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_73_0,0,33.74543822677086,-92.48941875884078,1,73,0.10788476305737049,2.8825966E8,280.59115050941386,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_74_0,0,33.61742829878382,-93.81443380291708,1,74,0.14326903062595875,2.87599432E8,280.5683614259125,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_75_0,0,34.125425591953416,-92.74858271830927,1,75,0.11749532657398731,2.89680168E8,279.90074444842594,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_76_0,0,33.48941837079679,-91.23042988814728,1,76,0.0831800236059621,2.80372536E8,281.0690728464434,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_77_0,0,36.29306037253382,-94.47739048259729,1,77,0.1032787545277074,2.6322074E8,276.4246124759797,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_78_0,0,35.998862116984675,-92.04205774734926,1,78,0.07691329556240589,2.65222988E8,277.1353557135469,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_79_0,0,35.511076917707776,-91.91539529228841,1,79,0.08899189370407612,2.74768008E8,277.82840794388966,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_80_0,0,33.88063467703084,-90.14391755200472,1,80,0.09184208350910694,2.74911312E8,280.4754016014837,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_81_0,0,34.58805796327497,-91.5026194192355,1,81,0.07622988360657246,2.79448452E8,279.6043971071961,"{""type"":""MultiPoint"",""coordinates"":[]}"
