system:index,clay,elevation,label,landforms,latitude,longitude,org_carbon,ph,pixel_id,.geo
0_0,21,147,0,21,33.83302396697251,-93.61231286399018,4,56,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,14,234,0,21,36.211762839321004,-91.9077596123734,2,58,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,35,68,0,31,35.085724630677184,-90.8742478779939,8,60,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,20,58,0,31,33.67087805818893,-91.54259444937881,6,48,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,14,95,0,21,34.9370534511554,-90.72467838318799,5,55,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,19,108,0,32,35.608544126034744,-91.5996374699204,4,56,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,13,63,0,31,33.88063467703084,-91.7056386734465,2,54,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,16,100,0,31,33.73286181279318,-91.78424126080697,2,50,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,14,294,0,21,36.44307902498178,-92.4692066649481,3,55,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,14,168,0,21,35.492212296741265,-91.8686828975142,2,56,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,15,99,0,21,33.71669213767903,-89.94673734714048,5,53,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,18,117,0,24,34.029305856552625,-94.23709114409532,3,59,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,13,123,0,21,33.657403328927145,-89.79267627591399,4,51,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,18,78,0,41,33.391052847185705,-90.07519643276957,3,56,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,23,89,0,31,35.85917409030409,-91.84667417305327,4,67,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,18,163,0,24,33.98349177706253,-93.90965522303375,4,58,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,16,153,0,21,34.99589310226523,-92.1844407198822,3,53,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,19,79,0,31,34.28981728894728,-92.59137754358835,8,54,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,23,38,0,31,33.1031427986254,-92.17545756704102,7,51,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,15,92,0,41,33.23519514539097,-94.21238747378203,8,54,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,23,310,0,42,34.6424060379642,-94.57485769092426,6,54,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,16,107,0,21,33.34658624062179,-89.75404871869685,2,55,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,27,65,0,21,34.575032391655235,-91.66027375159847,7,56,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,20,381,0,32,35.8367162082011,-92.61383542569135,5,52,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,25,98,0,24,35.22676013028395,-89.84837182352939,2,55,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,16,148,0,31,35.58967950506823,-91.55247591750413,5,55,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,19,212,0,31,35.60225591904591,-94.47783964023935,3,54,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,19,89,0,34,35.155344065196445,-89.73832820122475,3,62,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,12,80,0,21,33.59452125903878,-92.19072892687105,4,48,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,14,229,0,21,35.39833834955078,-92.53747862654119,3,57,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,15,483,0,31,36.362679807053084,-93.77221298456347,4,51,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,15,81,0,21,33.85413437614932,-92.27786550943064,6,52,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,19,96,0,24,33.79439640975537,-94.2474217698627,4,54,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,21,151,0,21,33.96956789015868,-94.24562513929445,4,54,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,10,103,0,41,33.56397853937872,-93.32889439185048,4,49,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,17,124,0,24,34.946934919280714,-89.93371177552075,3,52,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,15,75,0,21,33.29133985064844,-92.94441545024732,3,50,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,15,259,0,41,35.986285703007006,-92.32143380071044,4,56,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,20,92,0,31,33.298077215279335,-93.02122140703955,4,50,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,20,106,0,21,33.80607450844892,-93.82925600510505,3,60,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,16,134,0,34,35.33590543730447,-94.17510738949107,2,60,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
