pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
0,0,Others,california,16,2021-06-10,-117.76711253868001,39.76549810329783,1182.0,1462.0,1780.0,2045.0,2183.0,2264.0,2354.0,2366.0,2898.0,2581.0,1
1,0,Others,california,16,2021-06-10,-118.38245850830188,35.78281729115393,717.0,1081.5,1179.0,1622.5,2280.0,2462.5,2753.0,2772.0,2590.0,1841.0,1
2,0,Others,california,16,2021-06-10,-121.34150905419158,40.46663318255312,289.0,406.5,387.5,752.5,1568.0,1930.5,1973.0,2129.0,1493.5,952.5,1
3,0,Others,california,16,2021-06-10,-121.3882214489658,39.80053239937849,384.0,641.0,522.0,1031.5,2744.5,3390.5,3503.5,3560.5,2241.5,1293.0,1
4,0,Others,california,16,2021-06-10,-118.84868414075991,39.49375772985167,2000.0,2529.0,3112.0,3229.0,3534.0,3750.5,4202.0,3893.5,3629.0,2320.5,1
5,0,Others,california,16,2021-06-10,-120.70550183303496,36.1771777008824,498.0,716.0,819.0,1426.0,2145.5,2461.5,2441.0,2732.0,3038.0,2089.5,1
6,0,Others,california,16,2021-06-10,-121.96134660023405,38.63945989465401,393.0,821.0,585.0,1241.5,3334.5,3858.5,3894.5,3966.5,1877.0,1036.5,1
7,0,Others,california,16,2021-06-10,-120.64217060550453,39.47983384294782,1952.0,2053.0,1857.0,2257.0,3039.0,3317.5,3623.0,3530.0,3048.5,2125.5,1
8,0,Others,california,16,2021-06-10,-121.25392331398993,38.119784502790864,1386.0,1865.0,2271.0,2284.5,2396.5,2544.0,2692.0,2584.0,3390.5,3220.0,1
9,0,Others,california,16,2021-06-10,-119.16219617491763,36.37301043282046,931.0,1375.0,1794.0,2255.0,2789.0,3014.5,3332.0,3388.0,4163.0,3363.0,1
10,0,Others,california,16,2021-06-10,-120.03670610400798,40.17468071521427,1288.0,1618.0,1950.0,2188.0,2313.5,2404.5,2499.0,2602.0,3636.0,3363.5,1
11,0,Others,california,16,2021-06-10,-121.93439714171046,38.3605329989349,1313.0,1533.0,1839.0,1972.0,2220.5,2425.5,2425.0,2487.0,2400.5,1983.0,1
12,0,Others,california,16,2021-06-10,-118.8855150674088,38.03758865429393,1784.0,2031.0,2406.0,2570.5,2660.5,2736.0,2769.0,2751.5,3110.0,2853.0,1
13,0,Others,california,16,2021-06-10,-119.60506560998854,36.00919274275205,910.5,1220.0,1255.0,1766.5,2644.0,2925.5,3136.0,3068.5,3045.5,2398.0,1
14,0,Others,california,16,2021-06-10,-121.78392933162044,38.32549870285424,455.0,877.0,658.0,1586.0,3770.0,4437.5,4732.0,4852.0,2503.5,1237.5,1
15,0,Others,california,16,2021-06-10,-120.60668715178181,38.24375201199936,399.0,595.0,628.5,1079.0,1955.5,2231.0,2223.5,2491.0,2308.5,1502.0,1
16,0,Others,california,16,2021-06-10,-119.99762938914877,35.979099180734046,1789.0,2243.0,2637.0,2868.5,2907.5,3049.5,3188.0,3147.0,4091.0,3579.5,1
