system:index,label,latitude,longitude,month,pixel_id,precip,solar_rad,temp,.geo
202101_0_0,0,39.76549810329783,-117.76711253868001,1,0,0.02986827331318409,2.95105508E8,273.7438329060872,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_1_0,0,35.78281729115393,-118.38245850830188,1,1,0.06641538279785664,3.68244872E8,276.91644295313023,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_2_0,0,35.074495689625685,-120.10497806560106,1,2,0.08306515055431873,3.40378464E8,282.1133541804488,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_4_0,0,40.46663318255312,-121.34150905419158,1,4,0.13370418387188465,2.43887404E8,270.7645848592122,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_5_0,0,39.80053239937849,-121.3882214489658,1,5,0.1930859519792989,2.30957076E8,277.67943228444744,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_7_0,0,39.49375772985167,-118.84868414075991,1,7,0.034217937166829415,3.01987208E8,276.230103277391,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_8_0,0,36.1771777008824,-120.70550183303496,1,8,0.15334392922653706,3.18252932E8,281.5444933983587,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_9_0,0,38.63945989465401,-121.96134660023405,1,9,0.08723261791004688,2.51013216E8,283.19932843280094,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_10_0,0,39.47983384294782,-120.64217060550453,1,10,0.1892264618231252,2.60140132E8,271.6098443308184,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_12_0,0,38.119784502790864,-121.25392331398993,1,12,0.09621214705242664,2.64613084E8,282.4670640678816,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_13_0,0,37.221020061029286,-122.3390881772063,1,13,0.08358783858551533,2.85075652E8,283.4686470441921,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_14_0,0,36.37301043282046,-119.16219617491763,1,14,0.09490308004154713,3.0949592E8,282.59349740961545,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_15_0,0,40.17468071521427,-120.03670610400798,1,15,0.07591487305893452,2.64934008E8,274.568726324266,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_16_0,0,38.3605329989349,-121.93439714171046,1,16,0.09558473366035969,2.52434872E8,283.20421387046895,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_17_0,0,38.03758865429393,-118.8855150674088,1,17,0.10669016676678211,3.44423904E8,272.12783985753214,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_19_0,0,36.00919274275205,-119.60506560998854,1,19,0.05345967250599415,3.1726144E8,284.0569786974179,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_20_0,0,38.32549870285424,-121.78392933162044,1,20,0.09053164559139759,2.53886504E8,283.0595907395886,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_21_0,0,38.24375201199936,-120.60668715178181,1,21,0.17117684918179066,2.76317432E8,280.61233824042864,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_22_0,0,35.979099180734046,-119.99762938914877,1,22,0.06533440786137135,3.22386504E8,283.760620855516,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_23_0,0,39.47085069010663,-119.5610481610667,1,23,0.07522430854572804,2.95907216E8,274.4496355774582,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_24_0,0,38.45440694612539,-119.44291970120497,1,24,0.12628035085930378,3.30558436E8,269.20263089415846,"{""type"":""MultiPoint"",""coordinates"":[]}"
202101_25_0,0,36.87067710022267,-118.1488965344308,1,25,0.06785750227703602,3.76388036E8,276.217405339723,"{""type"":""MultiPoint"",""coordinates"":[]}"
