system:index,clay,elevation,label,landforms,latitude,longitude,org_carbon,ph,pixel_id,.geo
0_0,16,1825,0,22,39.76549810329783,-117.76711253868001,2,77,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13,1703,0,23,35.78281729115393,-118.38245850830188,4,71,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,22,653,0,32,35.074495689625685,-120.10497806560106,4,70,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,6,2028,0,32,40.46663318255312,-121.34150905419158,15,55,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,22,1224,0,21,39.80053239937849,-121.3882214489658,11,53,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,21,1221,0,41,39.49375772985167,-118.84868414075991,1,81,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,23,796,0,32,36.1771777008824,-120.70550183303496,3,71,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,31,44,0,34,38.63945989465401,-121.96134660023405,2,73,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,13,1749,0,32,39.47983384294782,-120.64217060550453,12,58,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,23,18,0,24,38.119784502790864,-121.25392331398993,2,74,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,21,53,0,42,37.221020061029286,-122.3390881772063,7,51,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,21,124,0,34,36.37301043282046,-119.16219617491763,2,77,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,20,1226,0,24,40.17468071521427,-120.03670610400798,2,80,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,27,29,0,34,38.3605329989349,-121.93439714171046,2,74,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,12,1973,0,34,38.03758865429393,-118.8855150674088,1,82,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,26,56,0,24,36.00919274275205,-119.60506560998854,2,77,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,24,6,0,41,38.32549870285424,-121.78392933162044,4,66,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,22,693,0,22,38.24375201199936,-120.60668715178181,6,57,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,25,265,0,31,35.979099180734046,-119.99762938914877,2,77,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,21,1724,0,21,39.47085069010663,-119.5610481610667,2,77,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,10,2049,0,31,38.45440694612539,-119.44291970120497,8,68,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,14,1154,0,34,36.87067710022267,-118.1488965344308,1,79,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,14,1408,0,34,38.86448787332595,-118.05637006016649,1,80,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,14,1235,0,32,37.12984105969115,-118.28005056591225,1,77,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,26,212,0,21,35.476940936911234,-119.06877138536919,2,80,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,18,2003,0,12,39.430875659963306,-117.94363149200949,4,76,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,23,809,0,21,37.151400626510025,-121.93035472293192,7,56,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,10,2279,0,23,36.50775772543839,-118.7148351634261,19,63,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,14,1622,0,31,39.384163265189095,-117.86862216578551,2,79,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,10,1657,0,21,38.06633474338575,-117.73881560723024,1,80,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,21,691,0,31,39.95369515532087,-121.6693941328952,7,60,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,26,45,0,31,38.29899840197271,-122.44059780431182,4,68,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,7,1892,0,32,40.108654541831484,-120.60039894479297,7,59,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,22,1206,0,34,39.50319004033493,-118.73235231146643,1,83,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,15,1452,0,32,39.961330835235884,-118.93851566917186,2,80,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,20,31,0,34,39.082778487366994,-121.40618775464819,2,73,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,22,24,0,34,38.064987270459575,-121.17037999256681,3,71,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,20,1131,0,21,38.74815604403247,-120.62106019632772,6,57,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,14,1519,0,32,37.3827168121708,-118.59041849657555,1,77,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,23,52,0,31,39.08861753671377,-121.34644978825423,2,72,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,22,2451,0,22,37.472997498224814,-117.5896952700664,5,73,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,30,39,0,24,39.53867349405765,-122.16571332737124,2,69,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,19,1295,0,32,40.34446230391286,-120.51460983515956,2,74,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,23,619,0,31,35.44729653253529,-120.12159689835727,2,72,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,28,469,0,32,35.677714402911946,-120.86495279596618,5,62,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,9,3717,0,22,37.423590157598234,-118.71753010927846,0,59,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,7,2229,0,32,39.4465961774354,-120.45756681461798,11,55,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,5,2264,0,31,38.11394545344409,-119.89297565854885,8,53,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,13,1599,0,32,40.05924720120491,-118.78445459794536,2,78,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,17,2066,0,22,39.16227939001157,-117.73971392251435,2,77,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,28,626,0,32,39.82254112383942,-121.61324942763774,7,57,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,20,999,0,21,35.162530587469405,-119.62437938859712,0,77,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,30,96,0,24,36.79387114343045,-119.81661885939869,2,76,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,10,1347,0,31,37.53812535632348,-119.63426085672243,7,61,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,28,232,0,21,36.20637294761629,-120.28104786128849,2,72,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,11,2047,0,31,35.4684069417121,-118.42288269608726,5,67,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,22,1186,0,34,39.88991477014839,-118.52573979611894,0,84,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,23,657,0,21,35.167022163889996,-120.1458514110285,3,70,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,24,190,0,21,37.465810975951854,-122.39927530124231,6,58,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,30,24,0,41,38.62373937718192,-121.2943475017753,2,74,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,14,1479,0,31,39.90024539591576,-118.95558365957014,1,77,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,14,1235,0,24,40.131561581576534,-118.53607042188632,1,80,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,17,1270,0,24,40.11988348288298,-120.14225814989202,2,78,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
