pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,landforms,clay,org_carbon,ph,month,temp,precip,solar_rad
0,0,Others,arkansas,7,2021-03-12,-93.61231286399018,33.83302396697251,526.0,618.0,614.0,1015.0,2062.0,2426.0,2796.0,2788.0,1932.0,1066.0,1,147.0,21.0,21.0,4.0,56.0,3,287.623445797992,0.1723507569061944,488845009.03808594
1,0,Others,arkansas,7,2021-03-12,-91.9077596123734,36.21176283932101,427.0,517.0,672.0,946.0,1339.0,1566.0,1754.0,1878.0,2476.0,1614.0,1,234.0,21.0,14.0,2.0,58.0,3,284.9619769639866,0.1192120090948769,481026487.03808594
2,0,Others,arkansas,7,2021-03-12,-90.8742478779939,35.085724630677184,618.0,841.0,897.0,1199.0,898.0,865.0,1046.0,709.0,531.0,449.0,1,68.0,31.0,35.0,8.0,60.0,3,287.1000503006802,0.1337120608317086,474089737.03808594
3,0,Others,arkansas,7,2021-03-12,-91.5425944493788,33.67087805818893,429.0,571.0,767.0,1010.0,1273.0,1482.0,1784.0,1775.0,2303.0,1417.0,1,58.0,31.0,20.0,6.0,48.0,3,288.02551390535086,0.2153455988394448,483585709.03808594
4,0,Others,arkansas,7,2021-03-12,-90.724678383188,34.9370534511554,584.0,762.0,1049.0,1346.5,1689.0,1929.5,2331.0,2416.0,3195.0,2111.0,1,95.0,21.0,14.0,5.0,55.0,3,287.39510605924875,0.1440110877978035,473682511.03808594
5,0,Others,arkansas,7,2021-03-12,-91.5996374699204,35.608544126034744,534.0,640.0,874.0,1178.0,1499.0,1725.0,2012.0,2105.0,2945.0,1883.0,1,108.0,32.0,19.0,4.0,56.0,3,285.93236769399334,0.1157704965101906,474366183.03808594
6,0,Others,arkansas,7,2021-03-12,-91.78424126080697,33.73286181279318,419.5,636.0,546.0,1053.0,2014.5,2349.0,2724.0,2624.5,2037.0,1193.5,1,63.0,31.0,13.0,2.0,54.0,3,287.80263451607,0.225743345998449,485459885.03808594
7,0,Others,arkansas,7,2021-03-12,-92.4692066649481,36.44307902498178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,31.0,16.0,2.0,50.0,3,288.02214056445706,0.2201922611223885,485639035.03808594
8,0,Others,arkansas,7,2021-03-12,-91.8686828975142,35.492212296741265,563.5,774.5,1098.0,1157.0,1515.0,1770.0,2187.0,2080.0,2757.5,1825.5,1,294.0,21.0,14.0,3.0,55.0,3,284.561909234652,0.1660642550217339,488184375.03808594
9,0,Others,arkansas,7,2021-03-12,-89.94673734714048,33.71669213767903,434.0,626.5,791.5,1043.0,1374.0,1574.5,1876.0,1899.0,2620.5,1636.5,1,168.0,21.0,14.0,2.0,56.0,3,285.92447643895304,0.110496439121885,474558647.03808594
10,0,Others,arkansas,7,2021-03-12,-94.23709114409532,34.029305856552625,594.0,868.0,763.0,1528.0,2913.0,3559.0,3280.0,3903.0,2776.0,1604.0,1,99.0,21.0,15.0,5.0,53.0,3,288.0493451805525,0.2415803150164315,470303111.03808594
11,0,Others,arkansas,7,2021-03-12,-90.07519643276956,33.391052847185705,372.0,487.0,636.0,1033.0,1390.0,1620.0,1690.0,1978.0,2572.0,1660.0,1,117.0,24.0,18.0,3.0,59.0,3,286.9956867464128,0.146518640302343,482496211.03808594
12,0,Others,arkansas,7,2021-03-12,-91.84667417305327,35.85917409030409,443.0,741.0,623.0,1259.5,2533.5,2799.5,2927.5,3056.0,2604.0,1557.0,1,123.0,21.0,13.0,4.0,51.0,3,288.0475416901291,0.2403980717884728,468603735.03808594
13,0,Others,arkansas,7,2021-03-12,-92.1844407198822,34.99589310226523,374.0,340.0,382.0,495.0,603.0,693.0,775.0,810.0,1124.0,768.0,1,78.0,41.0,18.0,3.0,56.0,3,288.3115653376425,0.2435632721411416,469898795.03808594
14,0,Others,arkansas,7,2021-03-12,-92.59137754358837,34.28981728894728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.0,31.0,23.0,4.0,67.0,3,285.5544747588455,0.1041896716582009,477467797.03808594
15,0,Others,arkansas,7,2021-03-12,-94.21238747378204,33.23519514539097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,163.0,24.0,18.0,4.0,58.0,3,287.0477097008818,0.1632307843195626,485902725.03808594
16,0,Others,arkansas,7,2021-03-12,-94.57485769092426,34.6424060379642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,153.0,21.0,16.0,3.0,53.0,3,286.84215904563985,0.1141764149891564,482177365.03808594
17,0,Others,arkansas,7,2021-03-12,-89.75404871869685,33.34658624062179,416.0,550.0,700.0,1017.0,1347.0,1566.0,1836.0,1936.0,2361.0,1476.5,1,79.0,31.0,19.0,8.0,54.0,3,287.48478967400007,0.15657167889945,486256387.03808594
18,0,Others,arkansas,7,2021-03-12,-94.23933693230562,35.0174526690841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.0,31.0,23.0,7.0,51.0,3,288.65360635326755,0.2072007582413384,488524871.03808594
19,0,Others,arkansas,7,2021-03-12,-91.66027375159848,34.575032391655235,382.0,469.0,469.0,726.0,907.0,1037.0,1146.0,1179.0,1182.0,846.0,1,92.0,41.0,15.0,8.0,54.0,3,288.1279190842823,0.1546130851732918,481314369.03808594
20,0,Others,arkansas,7,2021-03-12,-92.61383542569136,35.8367162082011,476.0,580.0,802.0,1050.0,1398.0,1620.0,1951.0,1968.0,2653.0,1748.0,1,310.0,42.0,23.0,6.0,54.0,3,285.5344316010834,0.0894746259676644,493129765.03808594
21,0,Others,arkansas,7,2021-03-12,-89.84837182352939,35.22676013028395,628.0,828.0,904.0,1098.0,1441.0,1557.5,1421.0,1771.0,1834.0,1333.0,1,107.0,21.0,16.0,2.0,55.0,3,288.0441184710431,0.2524872199522683,459473855.03808594
22,0,Others,arkansas,7,2021-03-12,-91.55247591750413,35.58967950506823,433.0,538.0,694.0,938.0,1339.0,1549.0,1754.0,1904.0,2324.0,1511.0,1,,,,,,3,286.127827203402,0.0942450837122628,494816315.03808594
23,0,Others,arkansas,7,2021-03-12,-94.47783964023937,35.60225591904591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65.0,21.0,27.0,7.0,56.0,3,287.3491813700686,0.1437357143389412,486239281.03808594
24,0,Others,arkansas,7,2021-03-12,-89.73832820122475,35.155344065196445,1160.0,1560.0,1902.0,1844.5,2112.5,2293.5,2459.0,2206.0,3143.0,2587.5,1,381.0,32.0,20.0,5.0,52.0,3,284.44361916408747,0.1217755452620217,487305835.03808594
25,0,Others,arkansas,7,2021-03-12,-92.19072892687105,33.59452125903878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98.0,24.0,25.0,2.0,55.0,3,287.00525285864387,0.1858104989754387,461996953.03808594
26,0,Others,arkansas,7,2021-03-12,-92.5374786265412,35.39833834955078,317.0,412.0,435.0,693.0,1302.0,1535.0,1678.0,1711.0,1586.0,988.0,1,148.0,31.0,16.0,5.0,55.0,3,285.93236769399334,0.1157704965101906,474366183.03808594
27,0,Others,arkansas,7,2021-03-12,-93.77221298456348,36.36267980705309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,212.0,31.0,19.0,3.0,54.0,3,285.6790652326358,0.1145964787232109,502139855.03808594
28,0,Others,arkansas,7,2021-03-12,-92.27786550943064,33.85413437614932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.0,34.0,19.0,3.0,62.0,3,287.0344000990673,0.1916796342360207,461375245.03808594
29,0,Others,arkansas,7,2021-03-12,-94.2474217698627,33.79439640975537,836.0,911.0,832.0,1268.0,2273.0,2657.0,2734.0,2845.0,1647.0,1079.0,1,80.0,21.0,12.0,4.0,48.0,3,288.17700185057936,0.2166500166880318,489473023.03808594
30,0,Others,arkansas,7,2021-03-12,-94.24562513929445,33.96956789015868,4016.0,3996.0,4008.0,4389.0,4779.0,4887.0,4984.0,4955.0,4663.0,4338.0,1,229.0,21.0,14.0,3.0,57.0,3,285.39738733025007,0.1126536802279183,480362535.03808594
31,0,Others,arkansas,7,2021-03-12,-93.32889439185048,33.56397853937872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,483.0,31.0,15.0,4.0,51.0,3,284.3220082559893,0.1535246000515648,501640003.03808594
32,0,Others,arkansas,7,2021-03-12,-89.93371177552075,34.946934919280714,749.0,946.5,976.5,1531.5,2108.5,2225.0,2252.0,2470.0,2624.5,2039.0,1,81.0,21.0,15.0,6.0,52.0,3,288.07323683461834,0.2052959130036065,488833465.03808594
33,0,Others,arkansas,7,2021-03-12,-92.94441545024732,33.29133985064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96.0,24.0,19.0,4.0,54.0,3,287.2429775730256,0.1523260251509377,481686471.03808594
34,0,Others,arkansas,7,2021-03-12,-92.32143380071044,35.986285703007006,406.0,519.0,722.0,1034.0,1263.0,1469.0,1701.0,1875.0,2848.0,1917.0,1,151.0,21.0,21.0,4.0,54.0,3,286.9956867464128,0.146518640302343,482496211.03808594
35,0,Others,arkansas,7,2021-03-12,-93.02122140703956,33.298077215279335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103.0,41.0,10.0,4.0,49.0,3,288.09285734033074,0.1511160508619973,490774397.03808594
36,0,Others,arkansas,7,2021-03-12,-94.17510738949107,35.33590543730447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,124.0,24.0,17.0,3.0,52.0,3,287.0301315758818,0.1923602894770333,468070061.03808594
37,0,Others,arkansas,7,2021-03-12,-93.33024186477668,33.17994875541762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75.0,21.0,15.0,3.0,50.0,3,288.3939063574678,0.1769153104054162,495709275.03808594
38,0,Others,arkansas,7,2021-03-12,-93.3935730923071,35.40103329540313,295.0,380.0,288.0,636.0,1376.0,1583.0,1780.0,1784.0,1397.0,817.0,1,259.0,41.0,15.0,4.0,56.0,3,285.0380937104584,0.1202521399485299,485228643.03808594
39,0,Others,arkansas,7,2021-03-12,-91.3674229689755,35.93373425888601,606.0,850.0,917.0,1442.0,2543.0,2776.0,3024.0,3163.0,2898.0,1830.0,1,92.0,31.0,20.0,4.0,50.0,3,288.38590222020304,0.1711187437998482,494839321.03808594
40,0,Others,arkansas,7,2021-03-12,-89.64086099289779,33.50109646949035,478.0,739.0,927.0,1231.0,1698.0,1923.0,2238.0,2243.0,2584.0,1614.0,1,106.0,21.0,20.0,3.0,60.0,3,287.4857767371721,0.1696335450636574,486873109.03808594
41,0,Others,arkansas,7,2021-03-12,-92.45213867454984,34.99813889047553,496.0,612.0,820.0,1074.0,1425.0,1688.0,2054.0,2058.0,2778.0,1768.0,1,134.0,34.0,16.0,2.0,60.0,3,286.139543328234,0.1065270529019066,496925673.03808594
42,0,Others,arkansas,7,2021-03-12,-93.68777134785624,34.04772131987708,472.0,563.0,650.0,947.0,1319.0,1561.0,1344.0,1737.0,1755.0,1042.0,1,94.0,31.0,17.0,5.0,51.0,3,288.35555527799875,0.1628686115967461,490559179.03808594
43,0,Others,arkansas,7,2021-03-12,-91.98950630322828,33.754421379612054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,163.0,21.0,15.0,6.0,52.0,3,285.79614247557936,0.1264793203102776,488249247.03808594
44,0,Others,arkansas,7,2021-03-12,-93.83374758152566,35.43112685742114,589.0,984.0,762.0,1540.0,2948.0,3258.0,3528.0,3581.0,2801.0,1636.0,1,130.0,31.0,16.0,4.0,58.0,3,285.6468622966479,0.1155836657511422,474404377.03808594
45,0,Others,arkansas,7,2021-03-12,-90.724678383188,35.22316686914747,673.0,833.5,1100.0,1437.0,1735.0,1990.0,2534.0,2565.0,3152.5,2088.5,1,133.0,41.0,17.0,5.0,50.0,3,287.970361750613,0.2375630513655373,461057133.03808594
46,0,Others,arkansas,7,2021-03-12,-93.3387758599758,33.409917468152216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,124.0,31.0,17.0,4.0,54.0,3,286.66796602228635,0.1126113609301278,480984949.03808594
47,0,Others,arkansas,7,2021-03-12,-90.45069222153154,33.70321740841724,756.0,1088.0,1344.0,1675.0,1781.0,1923.0,2126.0,2097.0,2070.0,1316.0,1,110.0,34.0,21.0,2.0,58.0,3,287.30287340635897,0.1833933369147011,487531391.03808594
48,0,Others,arkansas,7,2021-03-12,-92.75621839822428,33.62686060926708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.0,31.0,13.0,2.0,52.0,3,287.8524707055861,0.2117180899607369,487017965.03808594
49,0,Others,arkansas,7,2021-03-12,-94.0978522750568,35.25685369230195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.0,31.0,14.0,5.0,52.0,3,288.15266129278365,0.2225338742958733,487349151.03808594
50,0,Others,arkansas,7,2021-03-12,-90.58094793772888,35.05608022630124,717.0,993.5,1271.0,1506.0,1810.0,2008.5,2358.0,2342.0,3165.0,2122.5,1,138.0,31.0,16.0,2.0,59.0,3,285.7201911146923,0.1228067056166359,493207841.03808594
51,0,Others,arkansas,7,2021-03-12,-93.40884445213712,34.19459586883062,768.0,1080.0,1476.0,2027.0,2379.0,2570.0,2564.0,2679.0,3580.0,2686.0,1,107.0,22.0,15.0,4.0,54.0,3,286.9633866792084,0.1464566514717766,470464507.03808594
52,0,Others,arkansas,7,2021-03-12,-94.40417778694156,33.49346078957533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107.0,21.0,10.0,3.0,51.0,3,288.22513693122454,0.154671676539106,491433623.03808594
53,0,Others,arkansas,7,2021-03-12,-94.4270848266866,33.36949328036684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,41.0,40.0,4.0,68.0,3,288.0405272412044,0.2286833003985116,476631877.03808594
54,0,Others,arkansas,7,2021-03-12,-93.64599968714468,34.32889400380648,481.0,574.0,760.0,1101.0,1379.5,1638.0,1877.0,1994.5,2892.5,1951.5,1,48.0,21.0,20.0,5.0,53.0,3,288.1790442312917,0.1735059247242638,494057677.03808594
55,0,Others,arkansas,7,2021-03-12,-92.37533271775762,34.67025381177191,1160.0,1342.0,1344.0,1687.0,2151.0,2207.0,2722.0,2309.0,2350.0,1917.0,1,143.0,34.0,17.0,2.0,63.0,3,286.0066126956735,0.109310410998983,496104241.03808594
56,0,Others,arkansas,7,2021-03-12,-94.57126442978776,36.1080074240052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59.0,34.0,32.0,2.0,58.0,3,287.0776261155323,0.1454405859934517,470748263.03808594
