pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,slope,aspect,clay,sand,org_carbon,ph,month,temp,precip
0,0,Others,arkansas,11,2021-04-21,-93.61231286399018,33.83302396697251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,147.0,5.133343,334.2872,21.0,36.0,4.0,56.0,4,289.04066399468314,0.2057320019912545
1,0,Others,arkansas,11,2021-04-21,-91.9077596123734,36.21176283932101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,234.0,4.6803117,281.4041,14.0,33.0,2.0,58.0,4,286.8395924886068,0.1590924254369561
2,0,Others,arkansas,11,2021-04-21,-90.8742478779939,35.085724630677184,571.5,907.5,842.0,1498.5,1762.0,1797.5,2081.0,1743.5,1072.0,770.5,1,68.0,4.886709,247.74828,35.0,20.0,8.0,60.0,4,288.7579925537109,0.1281108698558632
3,0,Others,arkansas,11,2021-04-21,-91.5425944493788,33.67087805818893,398.0,520.0,631.0,862.0,1229.0,1393.0,1666.0,1638.0,1593.0,965.0,1,58.0,1.449605,50.231537,20.0,25.0,6.0,48.0,4,289.62969394259983,0.1037998637866799
4,0,Others,arkansas,11,2021-04-21,-90.724678383188,34.9370534511554,395.0,803.0,354.0,1317.0,3488.0,3945.0,4256.0,4452.0,2000.0,949.0,1,95.0,2.9233956,309.3443,14.0,16.0,5.0,55.0,4,289.0542490641276,0.1144489488315407
5,0,Others,arkansas,11,2021-04-21,-91.5996374699204,35.608544126034744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108.0,11.049167,5.852342,19.0,35.0,4.0,56.0,4,287.7062754313151,0.1546248188924615
6,0,Others,arkansas,11,2021-04-21,-91.78424126080697,33.73286181279318,325.0,578.0,386.0,1070.0,2840.0,3299.0,3704.0,3698.0,1941.0,978.0,1,63.0,4.3476815,129.69951,13.0,21.0,2.0,54.0,4,289.3299543592665,0.1243741652679268
7,0,Others,arkansas,11,2021-04-21,-92.4692066649481,36.44307902498178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,2.1634026,148.9847,16.0,27.0,2.0,50.0,4,289.5286848280165,0.1237937352371041
8,0,Others,arkansas,11,2021-04-21,-91.8686828975142,35.492212296741265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,294.0,6.464861,180.0,14.0,22.0,3.0,55.0,4,286.6122378879124,0.1618357590150658
9,0,Others,arkansas,11,2021-04-21,-89.94673734714048,33.71669213767903,230.5,568.0,207.5,998.5,3232.5,4006.0,4208.0,3984.0,1553.0,615.0,1,168.0,2.277104,270.0,14.0,35.0,2.0,56.0,4,287.688523695204,0.1554961940955941
10,0,Others,arkansas,11,2021-04-21,-94.23709114409532,34.029305856552625,337.0,670.0,405.0,1093.0,2789.0,3083.0,3716.0,3746.0,1767.0,904.0,1,99.0,4.3204393,328.98944,15.0,22.0,5.0,53.0,4,289.3612477620443,0.1011345675897423
11,0,Others,arkansas,11,2021-04-21,-90.07519643276956,33.391052847185705,212.5,567.0,215.0,1033.0,3014.5,3511.0,3833.0,3820.0,1822.5,841.5,1,117.0,4.3521733,129.65024,18.0,31.0,3.0,59.0,4,288.6960757785373,0.2327279737901513
12,0,Others,arkansas,11,2021-04-21,-91.84667417305327,35.85917409030409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,123.0,2.1629002,30.993141,13.0,24.0,4.0,51.0,4,289.3894948323568,0.1004790059041802
13,0,Others,arkansas,11,2021-04-21,-92.1844407198822,34.99589310226523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78.0,7.5835032,60.898716,18.0,31.0,3.0,56.0,4,289.6224917941624,0.105268254013044
14,0,Others,arkansas,11,2021-04-21,-92.59137754358837,34.28981728894728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.0,0.92740995,-0.0,23.0,26.0,4.0,67.0,4,287.404295179579,0.1454567006540124
15,0,Others,arkansas,11,2021-04-21,-94.21238747378204,33.23519514539097,284.0,412.0,304.0,662.0,1587.0,1872.0,2004.0,2149.0,1202.0,624.0,1,163.0,3.3517926,90.0,18.0,41.0,4.0,58.0,4,288.6349049886068,0.206884100170118
