pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,landforms,clay,org_carbon,ph,month,temp,precip,solar_rad
0,0,Others,california,8,2021-03-22,-117.76711253868,39.76549810329783,1043.5,1230.0,1429.0,1571.0,1682.0,1716.5,1804.0,1813.5,1824.0,1540.0,1,1825.0,22.0,16.0,2.0,77.0,3,278.0462317312917,0.030496187590284,578257073.0380859
1,0,Others,california,8,2021-03-22,-118.38245850830188,35.78281729115393,419.5,706.0,732.0,1138.0,2173.5,2481.5,3043.0,2850.5,2064.0,1331.0,1,1703.0,23.0,13.0,4.0,71.0,3,277.92845881882533,0.0431466177927681,672021075.0380859
2,0,Others,california,8,2021-03-22,-121.34150905419158,40.46663318255312,1107.0,1376.5,1342.0,1309.5,2370.5,2556.5,3221.0,2778.0,679.0,427.0,1,653.0,32.0,22.0,4.0,70.0,3,282.73083617097586,0.0364828334080407,634419233.0380859
3,0,Others,california,8,2021-03-22,-121.3882214489658,39.80053239937849,483.5,567.5,777.0,1082.5,1284.5,1436.5,1473.0,1642.5,2179.0,1537.5,1,,,,,,3,,,
4,0,Others,california,8,2021-03-22,-118.84868414075991,39.49375772985167,2014.0,2622.0,3260.0,3232.0,3337.0,3488.0,3908.0,3566.0,3335.0,2313.0,1,2028.0,32.0,6.0,15.0,55.0,3,271.6284992464128,0.075482480310125,599158367.0380859
5,0,Others,california,8,2021-03-22,-120.70550183303496,36.1771777008824,464.0,618.0,837.5,1137.0,1632.5,1733.0,1824.0,2047.0,2897.5,2088.0,1,1224.0,21.0,22.0,11.0,53.0,3,279.0093034928845,0.1174845621811577,573663747.0380859
6,0,Others,california,8,2021-03-22,-121.96134660023404,38.63945989465401,476.5,722.5,959.0,1070.5,1150.0,1248.0,1369.5,1378.5,2295.0,1948.0,1,,,,,,3,,,
7,0,Others,california,8,2021-03-22,-120.64217060550452,39.47983384294782,2831.0,3030.0,2890.0,3706.0,5086.0,4902.0,4675.0,4783.0,383.0,216.0,1,1221.0,41.0,21.0,1.0,81.0,3,280.096088922152,0.0208408609854409,596166817.0380859
8,0,Others,california,8,2021-03-22,-121.25392331398992,38.119784502790864,1805.0,2051.0,2267.0,2463.5,2842.5,2849.0,3134.0,3046.0,3197.0,2746.0,1,796.0,32.0,23.0,3.0,71.0,3,282.4689336592151,0.0237137899624535,612623417.0380859
9,0,Others,california,8,2021-03-22,-119.16219617491764,36.37301043282046,350.5,671.5,612.0,1120.5,2804.5,3221.5,3439.5,3357.0,2613.5,1902.0,1,44.0,34.0,31.0,2.0,73.0,3,285.2150772874073,0.0360411182867714,584406089.0380859
10,0,Others,california,8,2021-03-22,-120.03670610400798,40.17468071521427,1048.0,1215.0,1520.0,1719.0,1793.0,1897.0,2021.0,2034.5,2934.5,2724.0,1,1749.0,32.0,13.0,12.0,58.0,3,272.2489078275619,0.0944038853871056,600327011.0380859
11,0,Others,california,8,2021-03-22,-121.93439714171046,38.3605329989349,934.0,1115.0,1241.0,1509.5,1922.0,2160.5,2163.5,2265.0,1873.5,1525.0,1,,,,,,3,,,
12,0,Others,california,8,2021-03-22,-118.8855150674088,38.03758865429393,1600.0,1888.0,2182.0,2291.0,2356.0,2402.0,2434.0,2367.0,2866.0,2559.0,1,18.0,24.0,23.0,2.0,74.0,3,285.2895375528643,0.0299781189190575,581210627.0380859
13,0,Others,california,8,2021-03-22,-119.60506560998854,36.00919274275205,1443.0,1771.0,2201.0,2393.0,2469.5,2605.0,2848.0,2857.5,4397.5,4175.5,1,53.0,42.0,21.0,7.0,51.0,3,282.8242947773267,0.0532496050821968,592836661.0380859
14,0,Others,california,8,2021-03-22,-121.78392933162044,38.32549870285424,328.0,723.0,386.5,1250.5,3728.0,4540.0,5032.0,4970.5,2229.5,1050.5,1,124.0,34.0,21.0,2.0,77.0,3,284.3959251116681,0.08771703400485,586734035.0380859
15,0,Others,california,8,2021-03-22,-120.6066871517818,38.24375201199936,313.0,452.0,515.0,854.0,1427.0,1627.5,1622.5,1825.0,1925.0,1441.5,1,1226.0,24.0,20.0,2.0,80.0,3,278.6887048495713,0.0257387683617302,591833771.0380859
16,0,Others,california,8,2021-03-22,-119.99762938914876,35.979099180734046,1430.0,1759.0,2071.0,2281.5,2516.0,2600.0,2738.0,2694.0,3384.0,2994.0,1,29.0,34.0,27.0,2.0,74.0,3,285.3986132837111,0.0397303477751442,584853425.0380859
17,0,Others,california,8,2021-03-22,-119.5610481610667,39.47085069010663,516.5,740.0,1036.0,1279.5,1474.0,1527.0,1552.0,1681.5,1930.5,1596.5,1,1973.0,34.0,12.0,1.0,82.0,3,272.3128437944638,0.0197657124029824,675807839.0380859
18,0,Others,california,8,2021-03-22,-119.44291970120496,38.45440694612539,391.0,592.0,829.0,1114.0,1393.0,1633.0,1621.0,1818.0,1742.0,1244.0,1,,,,,,3,,,
19,0,Others,california,8,2021-03-22,-118.1488965344308,36.87067710022267,2142.5,2712.5,3326.0,3733.5,3767.5,3872.5,3807.5,3903.0,4535.0,4162.5,1,56.0,24.0,26.0,2.0,77.0,3,287.49255754614387,0.0326140002237984,608857237.0380859
20,0,Others,california,8,2021-03-22,-118.05637006016649,38.86448787332595,1461.0,1730.0,2105.0,2258.0,2328.5,2350.0,2395.0,2340.0,2459.5,2394.0,1,6.0,41.0,24.0,4.0,66.0,3,285.404695797992,0.0371222422348687,584729555.0380859
21,0,Others,california,8,2021-03-22,-119.0687713853692,35.476940936911234,565.0,781.0,972.0,1277.5,1599.5,1775.5,1808.0,1932.5,2945.0,2490.5,1,693.0,22.0,22.0,6.0,57.0,3,281.83910335007533,0.0979061202036568,575779627.0380859
22,0,Others,california,8,2021-03-22,-120.2217590525366,37.66523696902639,959.0,1393.0,1739.0,1662.0,1836.0,1954.0,2100.5,2017.5,2979.5,2668.0,1,265.0,31.0,25.0,2.0,77.0,3,286.5907650814261,0.0215713308083245,631376783.0380859
23,0,Others,california,8,2021-03-22,-117.94363149200947,39.430875659963306,767.0,937.0,1128.0,1455.0,1828.0,1941.0,2006.0,2040.0,1904.0,1571.0,1,1724.0,21.0,21.0,2.0,77.0,3,277.0098180258146,0.0227573589312264,606149213.0380859
24,0,Others,california,8,2021-03-22,-121.93035472293192,37.151400626510025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2049.0,31.0,10.0,8.0,68.0,3,269.79524729328773,0.0338924900519082,643383835.0380859
25,0,Others,california,8,2021-03-22,-117.86862216578552,39.384163265189095,1160.0,1413.0,1733.0,1920.5,2071.5,2112.5,2160.0,2164.0,2399.5,2205.5,1,1154.0,34.0,14.0,1.0,79.0,3,279.24162561150007,0.0227007047163674,707834377.0380859
26,0,Others,california,8,2021-03-22,-117.73881560723024,38.06633474338575,994.0,1298.0,1625.0,1731.5,1761.0,1796.5,1862.0,1790.5,2130.5,1881.5,1,1408.0,34.0,14.0,1.0,80.0,3,279.41057092400007,0.0275096968638131,600621339.0380859
27,0,Others,california,8,2021-03-22,-121.6693941328952,39.95369515532087,0.0,332.5,452.5,825.0,2329.5,2483.5,2141.0,2640.5,1348.5,691.0,1,1235.0,32.0,14.0,1.0,77.0,3,276.7231444287044,0.0145266280399987,691381615.0380859
