pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,slope,aspect,clay,sand,org_carbon,ph,month,temp,precip
0,0,Others,california,13,2021-05-11,-117.76711253868,39.76549810329783,1151.0,1439.0,1732.0,1983.5,2208.0,2360.0,2403.0,2457.5,2850.0,2577.0,1,1825.0,3.6781292,319.06488,16.0,53.0,2.0,77.0,5,290.0049929259925,0.0259969071325016
1,0,Others,california,13,2021-05-11,-118.38245850830188,35.78281729115393,652.0,1078.0,1144.0,1695.0,2710.0,3021.0,3404.0,3313.0,3070.0,2209.0,1,1703.0,34.723766,16.733671,13.0,61.0,4.0,71.0,5,289.35740335526003,0.0063677416022969
2,0,Others,california,13,2021-05-11,-121.34150905419158,40.46663318255312,600.0,770.0,754.0,970.0,1354.0,1617.5,1726.0,1725.5,478.5,332.5,1,653.0,20.65733,9.055447,22.0,37.0,4.0,70.0,5,291.25617425159743,0.001472412126894
3,0,Others,california,13,2021-05-11,-121.3882214489658,39.80053239937849,319.5,628.0,509.5,1055.5,2647.0,3064.0,3337.5,3279.0,2203.5,1311.5,1,,,,,,,,5,,
4,0,Others,california,13,2021-05-11,-118.84868414075991,39.49375772985167,2392.0,2902.0,3344.0,3713.0,3608.0,3760.0,4268.0,4119.0,4029.0,2877.0,1,2028.0,10.166911,353.18582,6.0,57.0,15.0,55.0,5,282.5570290063017,0.0166528061803532
5,0,Others,california,13,2021-05-11,-120.70550183303496,36.1771777008824,482.0,668.0,777.5,1220.5,2066.5,2388.0,2429.0,2665.0,2843.5,1915.5,1,1224.0,19.318403,226.1588,22.0,41.0,11.0,53.0,5,290.63587067716867,0.0091166929181767
6,0,Others,california,13,2021-05-11,-121.96134660023404,38.63945989465401,513.5,866.0,832.0,1329.5,2754.5,3056.5,3113.5,3190.0,2456.5,1697.5,1,,,,,,,,5,,
7,0,Others,california,13,2021-05-11,-120.64217060550452,39.47983384294782,348.5,593.0,566.0,953.5,1883.5,2190.0,2460.0,2459.0,1830.5,1139.5,1,1221.0,1.2017157,270.0,21.0,48.0,1.0,81.0,5,291.1583657418528,0.0118020013745976
8,0,Others,california,13,2021-05-11,-121.25392331398992,38.119784502790864,1357.0,1740.0,2128.0,2290.0,2383.5,2304.0,2570.0,2562.5,3385.0,3051.5,1,796.0,16.833319,96.14287,23.0,44.0,3.0,71.0,5,291.75682791843207,0.0016635195192051
9,0,Others,california,13,2021-05-11,-119.16219617491764,36.37301043282046,828.5,1227.0,1469.0,2130.5,2744.0,3038.0,3206.0,3345.5,3869.5,3007.5,1,44.0,0.92740995,-0.0,31.0,31.0,2.0,73.0,5,295.3517408678609,9.457625710496131e-05
