State,Config,P2 OA,P3 OA,ΔOA,P2 F1,P3 F1,ΔF1,P2 Kappa,P3 Kappa,ΔKappa,Params (P3)
Arkansas,Baseline (S2),0.8644,0.6369,-0.2275,0.8148,0.6073,-0.2075,0.8025,0.5389,-0.2636,"412,408"
Arkansas,S2 + Climat,0.9044,0.8254,-0.0790,0.8681,0.7612,-0.1069,0.8572,0.7543,-0.1029,"439,608"
Arkansas,S2 + Sol,0.9093,0.7809,-0.1284,0.8683,0.7153,-0.1530,0.8642,0.6903,-0.1739,"439,608"
Arkansas,S2 + Topo,0.8653,0.8241,-0.0412,0.8249,0.7711,-0.0538,0.8034,0.7513,-0.0521,"439,544"
Arkansas,S2 + Tout,0.8040,0.8327,+0.0287,0.7847,0.7862,+0.0015,0.7246,0.7595,+0.0349,"444,344"
California,Baseline (S2),0.8466,0.7863,-0.0603,0.7861,0.6249,-0.1612,0.7995,0.7207,-0.0788,"412,449"
California,S2 + Climat,0.8761,0.7351,-0.1410,0.8254,0.6334,-0.1920,0.8362,0.6584,-0.1778,"439,649"
California,S2 + Sol,0.8679,0.7727,-0.0952,0.8080,0.7060,-0.1020,0.8260,0.7097,-0.1163,"439,649"
California,S2 + Topo,0.8772,0.7435,-0.1337,0.8100,0.6507,-0.1593,0.8376,0.6696,-0.1680,"439,585"
California,S2 + Tout,0.8838,0.7732,-0.1106,0.8282,0.6875,-0.1407,0.8469,0.7077,-0.1392,"444,385"
