state,config,test_accuracy,macro_f1,kappa
Arkansas,baseline,0.8331764705882353,0.7742313809340873,0.7626589958768277
Arkansas,s2_climate,0.8921176470588236,0.8472870053507654,0.8392690638757669
Arkansas,s2_soil,0.8832941176470588,0.8438274475281556,0.8275579246980714
Arkansas,s2_topo,0.9014117647058824,0.8579623012784452,0.8533175339932445
Arkansas,all,0.8758823529411764,0.8408185909687106,0.8162820054723889
California,baseline,0.8462195121951219,0.793417777756095,0.7984714295119513
California,s2_climate,0.8613414634146341,0.7967743320005874,0.8177451418154855
California,s2_soil,0.8609756097560975,0.8006339246528745,0.8171269994300575
California,s2_topo,0.8465853658536585,0.7661189954703794,0.798681472544053
California,all,0.8790243902439024,0.8158957108461712,0.8400035121180267
